words/year,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
tokyo,2,22,27,57,101,141,176,140,164,352,456,640,674,521
kyoto,0,3,16,26,36,47,77,46,62,110,175,249,260,213
osaka,0,1,5,38,49,66,72,47,80,163,203,311,306,268
yokohama,0,1,3,2,4,9,5,8,7,6,13,22,23,8
hokkaido,0,0,2,4,12,5,18,8,11,22,35,20,55,50
okinawa,0,0,0,0,67,5,5,4,2,2,4,7,7,6
onsen,1,7,14,43,44,87,99,83,116,152,175,262,370,283
ryokan,0,3,15,123,132,215,160,134,149,245,256,336,460,377
temple,0,39,16,145,167,260,231,189,179,394,374,498,668,613
shrine,0,28,12,72,80,116,83,68,65,142,146,184,244,214
festival,1,25,8,34,48,83,60,58,70,94,156,165,177,200
